method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,confidence,uec,ece_iou50,n_rows,n_samples
linear_centroid,frame_drop,5,1,0.6846351299105834,0.8574645571136958,0.7710498435121397,0.9506700883946392,0.0191046478471628,0.0022811519817507,0.4781864841745081,0.0008509625388519,0.0,1.0,,0.1773595809936523,3507,3507
linear_centroid,frame_drop,5,2,0.5594583928990243,0.6840103320642247,0.6217343624816245,0.913601368691189,0.0359281437125748,0.003706871970345,0.4767607641859139,0.0008509625388519,0.0,1.0,,0.3555745482444763,3507,3507
linear_centroid,frame_drop,5,3,0.4758293361008838,0.5628006351030332,0.5193149856019584,0.8702594810379242,0.056173367550613,0.0051325919589392,0.4739093242087254,0.0008509625388519,0.0,1.0,,0.502138614654541,3507,3507
linear_centroid,frame_drop,5,4,0.4137128785284312,0.4750304312953337,0.4443716549118824,0.827487881380097,0.0875392072996863,0.0065583119475335,0.4730538922155688,0.0008509625388519,0.0,1.0,,0.6045053005218506,3507,3507
linear_centroid,frame_drop,5,5,0.3641900532190506,0.4102433726791077,0.3872167129490791,0.7827202737382378,0.1228970630168235,0.0079840319361277,0.4707727402338181,0.0008509625388519,0.0,1.0,,0.6763615608215332,3507,3507
linear_centroid,occlusion,5,all,0.3960747850652786,0.6118196862381095,0.503947235651694,0.8934702024522384,0.0434559452523524,0.0050755631593954,0.7976618192187055,0.0007845566680515,0.0,1.0,,0.6552609205245972,17535,3507
linear_centroid,occlusion,5,1,0.5197807136182532,0.8001757558294452,0.6599782347238492,0.958939264328486,0.0128314798973481,0.0019960079840319,0.7984031936127745,0.0007845566680515,0.0,1.0,,0.360136866569519,3507,3507
linear_centroid,occlusion,5,2,0.4364268754305365,0.6867922216768292,0.561609548553683,0.9235814086113489,0.0305104077559167,0.003706871970345,0.7981180496150556,0.0007845566680515,0.0,1.0,,0.5779868960380554,3507,3507
linear_centroid,occlusion,5,3,0.3806398194035573,0.5921337420863898,0.4863867807449735,0.8919304248645566,0.0450527516395779,0.0051325919589392,0.7986883376104933,0.0007845566680515,0.0,1.0,,0.7108639478683472,3507,3507
linear_centroid,occlusion,5,4,0.3384702249084075,0.5193887301166168,0.4289294775125121,0.8625605930995153,0.056173367550613,0.0065583119475335,0.7972626176218991,0.0007845566680515,0.0,1.0,,0.7892785668373108,3507,3507
linear_centroid,occlusion,5,5,0.3050562919656388,0.4606079814812659,0.3828321367234524,0.8303393213572854,0.0727117194183062,0.0079840319361277,0.7958368976333048,0.0007845566680515,0.0,1.0,,0.8380382061004639,3507,3507
safeobj_det,blur,5,all,0.361378651590665,0.2917906426167567,0.3265846471037108,0.8484744796122041,0.0646706586826347,0.0051325919589392,0.1201596806387225,0.0039015629315175,0.0,0.981888642204362,,0.674446377021348,17535,3507
safeobj_det,blur,5,1,0.3961697160635416,0.3249319190148253,0.3605508175391835,0.8625605930995153,0.0652979754776161,0.0022811519817507,0.1243227830054177,0.0039015629315175,0.0,0.9846405663278186,,0.60140703354665,3507,3507
safeobj_det,blur,5,2,0.3784464242621516,0.3071289847671707,0.3427877045146611,0.8557171371542629,0.0695751354433989,0.003706871970345,0.1157684630738523,0.0039015629315175,0.0,0.9832887438107052,,0.6428267231754404,3507,3507
safeobj_det,blur,5,3,0.3604697837680365,0.2903015761340748,0.3253856799510558,0.8491588252067294,0.065583119475335,0.0051325919589392,0.1166238950670088,0.0039015629315175,0.0,0.981955457845236,,0.684835376224866,3507,3507
safeobj_det,blur,5,4,0.3436286467787774,0.2749226616335934,0.3092756542061854,0.8420302252637581,0.0607356715141146,0.0065583119475335,0.1203307670373538,0.0039015629315175,0.0,0.980528119744349,,0.7122076301619575,3507,3507
safeobj_det,blur,5,5,0.3281786870808175,0.2616680715341191,0.2949233793074683,0.832905617336755,0.0621613915027088,0.0079840319361277,0.12375249500998,0.0039015629315175,0.0,0.9790303232937004,,0.730954991877164,3507,3507
safeobj_det,clean,5,all,0.3612669632087897,0.2913056774601159,0.3262863203344527,0.8490447676076418,0.0643855146849158,0.0051325919589392,0.1178785286569717,0.0039096493535706,0.0,0.981822412456581,,0.6752355571312547,17535,3507
safeobj_det,clean,5,1,0.3959359744985469,0.3242562044703987,0.3600960894844728,0.8634160250926718,0.065583119475335,0.0022811519817507,0.1211861990305104,0.0039096493535706,0.0,0.98458720283492,,0.6027793203591281,3507,3507
safeobj_det,clean,5,2,0.3782771830526178,0.3066107953826281,0.342443989217623,0.8560022811519817,0.06928999144568,0.003706871970345,0.1117764471057884,0.0039096493535706,0.0,0.9832250248818172,,0.6441887874599193,3507,3507
safeobj_det,clean,5,3,0.3603562512545227,0.2899843119942731,0.3251702816243978,0.8483033932135728,0.0641573994867408,0.0051325919589392,0.1112061591103507,0.0039096493535706,0.0,0.981887680480784,,0.6839122266078695,3507,3507
safeobj_det,clean,5,4,0.3435783587348278,0.2744553640687545,0.3090168614017912,0.8431708012546336,0.0601653835186769,0.0065583119475335,0.1231822070145423,0.0039096493535706,0.0,0.980456538916926,,0.7118508358235572,3507,3507
