method,stress,jf,ops,vanish,hallucination,split,mce,uec,ece_iou50
safeobjworld_r_no_area,frame_drop,0.6503738048844819,0.9550613059595096,0.024978614200171,0.003193612774451,0.299743370402053,0.0036770471916389,0.2184264429647115,0.2542511286509828
safeobjworld_r_no_stress,frame_drop,0.5080032067093507,0.8965087281795511,0.0526184538653366,0.0061720698254364,0.3460411471321696,0.0039649768478545,0.1393801709213882,0.4277255523104471
safeobjworld_r_no_stress,frame_drop,0.6290958111596647,0.9523809523809524,0.0239520958083832,0.0038779583689763,0.3177074422583404,0.0041547386661974,0.1976448111285574,0.2781080969997305
safeobjworld_r_det,frame_drop,0.5241834018456796,0.9050498753117208,0.0456359102244389,0.0055174563591022,0.2430486284289277,0.002152388106569,,0.4098192318047668
safeobjworld_r_det,frame_drop,0.6511409648669986,0.950955232392358,0.0275449101796407,0.0025092671799258,0.2885086968919304,0.003273615130084,,0.2511235341442457
safeobjworld_r_image_only,frame_drop,0.1173545498109566,0.3516209476309227,0.4257793017456359,0.0084788029925187,0.6217581047381546,0.0175635321971677,0.0146634262094395,0.8988630793505625
safeobjworld_r_image_only,frame_drop,0.1622768400342059,0.5216424294268606,0.1877958368976333,0.0051325919589392,0.9387510692899914,0.0210981320840599,0.0917714684560978,0.86664485991562
safeobjworld_r_mask_only,frame_drop,0.5250821790125851,0.9015586034912718,0.0509039900249376,0.0055486284289276,0.3028678304239401,0.0033499081260152,0.0218331317285576,0.4032090162844431
safeobjworld_r_mask_only,frame_drop,0.6467554599068512,0.95295124037639,0.0245794126033647,0.0035357855717137,0.2338180781294553,0.0034256517451869,0.1647837278169299,0.2514321458417872
object_token_full,frame_drop,0.28265189470245,0.8537094763092269,0.0555798004987531,0.0082294264339152,0.1238466334164588,0.0135695267753302,-0.2198982779551055,0.7744204566607303
object_token_full,frame_drop,0.333320403436217,0.8837182777302538,0.0463644140290846,0.0039920159680638,0.0557171371542629,0.0148770758272591,-0.2757174004208031,0.7090365805515783
object_token_det,frame_drop,0.2741296072407256,0.8207605985037406,0.0680486284289276,0.0068266832917705,0.1484102244389027,0.0018413671685476,,0.7962520372429096
object_token_det,frame_drop,0.3565261755559328,0.890846877673225,0.0443113772455089,0.0051325919589392,0.0910179640718562,0.0038410663347326,,0.6363988022978299
object_token_no_geom,frame_drop,0.1096631815294423,0.3899937655860349,0.4501870324189526,0.0084788029925187,0.032574812967581,0.005678561936246,-0.3542217715584453,0.886253848177685
