method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,mce,uncertainty,uec,ece_iou50,n_samples
convlstm_base,distractor,5,1,0.7807985479676713,0.9019232754254292,0.8413609116965503,0.9840319361277444,0.0125463358996293,0.0008554319931565,0.3182207014542343,0.0031045050985779,0.0,,0.0929981470108032,3507
convlstm_base,distractor,5,2,0.6944820249930062,0.7931413614433976,0.7438116932182021,0.9706301682349586,0.0196749358426005,0.001710863986313,0.3125178214998574,0.0031045050985779,0.0,,0.1491307546635587,3507
convlstm_base,distractor,5,3,0.6300648474916429,0.6952247122353773,0.6626447798635101,0.9560878243512974,0.0253778157969774,0.0022811519817507,0.3031080695751354,0.0031045050985779,0.0,,0.2327414298281902,3507
convlstm_base,distractor,5,4,0.5786647357231123,0.6091938189510221,0.5939292773370672,0.9378386084972912,0.0345024237239806,0.0028514399771884,0.2791559737667522,0.0031045050985779,0.0,,0.3041040953455877,3507
convlstm_base,distractor,5,5,0.5354370338768827,0.5322847620664827,0.5338608979716827,0.9238665526090676,0.0433418876532648,0.0039920159680638,0.2546335899629313,0.0031045050985779,0.0,,0.3605748527846106,3507
convlstm_base,frame_drop,5,1,0.730282862460104,0.8554829648634843,0.7928829136617941,0.9814656401482748,0.0128314798973481,0.0008554319931565,0.3310521813515825,0.004845007474875,0.0,,0.1201607584953308,3507
convlstm_base,frame_drop,5,2,0.636168770732427,0.7140164178804328,0.6750925943064299,0.9572284003421728,0.0216709438266324,0.0011405759908753,0.3504419731964642,0.004845007474875,0.0,,0.2134721852586178,3507
convlstm_base,frame_drop,5,3,0.5730906285885213,0.6095921072112787,0.5913413678999,0.936127744510978,0.0350727117194183,0.0025662959794696,0.354433989164528,0.004845007474875,0.0,,0.3086650323793016,3507
convlstm_base,frame_drop,5,4,0.5265291981055902,0.5270013696075775,0.5267652838565838,0.9167379526660964,0.0456230396350156,0.0022811519817507,0.3378956372968349,0.004845007474875,0.0,,0.3814832518200675,3507
convlstm_base,frame_drop,5,5,0.4889133808719266,0.4600986340402619,0.4745060074560943,0.8959224408326205,0.0544625035642999,0.0034217279726261,0.3099515255203878,0.004845007474875,0.0,,0.4447855220957294,3507
convlstm_base,lowlight,5,1,0.7803940014600189,0.9011137106531758,0.8407538560565972,0.986883376104933,0.0096948959224408,0.0008554319931565,0.3262047333903621,0.0033921768695435,0.0,,0.0934487581253051,3507
convlstm_base,lowlight,5,2,0.6923174222528126,0.7892873216264241,0.7408023719396184,0.9706301682349586,0.0159680638722554,0.0019960079840319,0.3259195893926432,0.0033921768695435,0.0,,0.1498063927469071,3507
