method,stress,max_h,h,iou,boundary_f,jf,ops,vanish,hallucination,split,components,mce,pred_area,gt_area,uncertainty,confidence,brier_iou50,uec,ece_iou50,aurc_unc,selective_jf_80,n_rows,n_samples
convlstm_base,noise,10,6,0.4928659640789752,0.4732031620530005,0.4830345630659879,0.9021197007481296,0.0476932668329177,0.0065461346633416,0.2699501246882793,1.418017456359102,0.0024797403174416,0.0687173836513317,0.0602081713170415,0.0,0.985609858410614,0.4354760252180836,,0.4347993800430524,0.5475391054218849,0.4781596064567566,3208,3208
convlstm_base,noise,10,7,0.460973882530019,0.4248703024034769,0.4429220924667479,0.8855985037406484,0.054862842892768,0.0074812967581047,0.2487531172069825,1.3584788029925188,0.0024797403174416,0.0701293776193197,0.0603258614396084,0.0,0.983420355361596,0.4939594103808415,,0.4949540241883877,0.5802363925571639,0.4396692812442779,3208,3208
convlstm_base,noise,10,8,0.4314799525575968,0.3835488958280837,0.4075144241928402,0.868142144638404,0.0645261845386533,0.0090399002493765,0.2288029925187032,1.3126558603491272,0.0024797403174416,0.0715477473850097,0.0604134736942366,0.0,0.981140897755611,0.5478616041732846,,0.5506546256362351,0.6107465838270267,0.4050692617893219,3208,3208
convlstm_base,noise,10,9,0.4058758725926363,0.3492460713293315,0.3775609719609839,0.8410224438902744,0.0757481296758104,0.010286783042394,0.206359102244389,1.274002493765586,0.0024797403174416,0.0729459919537094,0.0604720227967407,0.0,0.9787416529477088,0.5947363647885453,,0.5996892973223232,0.6361090476139811,0.3764709532260895,3208,3208
convlstm_base,noise,10,10,0.3836714959617377,0.32019681060087,0.3519341532813039,0.8154613466334164,0.0866583541147132,0.0112219451371571,0.1889027431421446,1.245635910224439,0.0024797403174416,0.0743122306944227,0.0604981094491419,0.0,0.976195528025639,0.6369744413660055,,0.6445247053802757,0.6577128117237597,0.3522685170173645,3208,3208
convlstm_base,occlusion,10,all,0.4046998747387835,0.4915563403490011,0.4481281075438922,0.88285536159601,0.0567331670822942,0.0049563591022443,0.5857543640897755,2.0400249376558603,0.0033323810496399,0.0492629839991492,0.0600551242675104,0.0,0.9880370484920512,0.6122498583169352,,0.6172763861734374,0.6184297643506999,0.4430929124355316,32080,3208
convlstm_base,occlusion,10,1,0.5615257298315706,0.7781093877392216,0.6698175587853962,0.9713216957605983,0.0174563591022443,0.000935162094763,0.685785536159601,2.4875311720698257,0.0033323810496399,0.0439636873122099,0.0593433797640231,0.0,0.9968646803401652,0.2536642474872513,,0.2521639466285705,0.4501134631122304,0.6646520495414734,3208,3208
convlstm_base,occlusion,10,2,0.4989988522134523,0.6821519358874015,0.590575394050427,0.9516832917705736,0.0277431421446384,0.0015586034912718,0.6630299251870324,2.305798004987531,0.0033323810496399,0.0445891158605223,0.0595522336465693,0.0,0.9948254059675032,0.4206485835245422,,0.4203241127090263,0.5132134011605404,0.5852441787719727,3208,3208
convlstm_base,occlusion,10,3,0.457344292881313,0.5992856613703165,0.5283149771258148,0.9342269326683292,0.0358478802992518,0.0018703241895261,0.6355985037406484,2.1820448877805485,0.0033323810496399,0.0460191464021153,0.0597427127169056,0.0,0.9929865887040212,0.5240643726025437,,0.5250938348936619,0.5578100957050709,0.5224050879478455,3208,3208
convlstm_base,occlusion,10,4,0.4251888565583305,0.5337203451426967,0.4794546008505136,0.9155236907730672,0.0417705735660847,0.0024937655860349,0.6256234413965087,2.1290523690773067,0.0033323810496399,0.0472639236598174,0.0599221905766183,0.0,0.9911456405373286,0.6015481157344476,,0.6039885574222503,0.5933872492681508,0.473676860332489,3208,3208
convlstm_base,occlusion,10,5,0.3994980213028328,0.4804340404589221,0.4399660308808775,0.899002493765586,0.0467581047381546,0.003428927680798,0.6069201995012469,2.064837905236908,0.0033323810496399,0.0485996701903011,0.0600730872742189,0.0,0.9893022570526808,0.6518888262441925,,0.6557611278316325,0.6225212595724434,0.4348883926868438,3208,3208
convlstm_base,occlusion,10,6,0.3771271035526686,0.4350514247974837,0.4060892641750762,0.8765586034912718,0.0561097256857855,0.0049875311720698,0.5860349127182045,1.996571072319202,0.0033323810496399,0.0498938387402803,0.0602081713170415,0.0,0.9873794213197477,0.6842895537391862,,0.689686180610312,0.6481093948254966,0.4013311266899109,3208,3208
convlstm_base,occlusion,10,7,0.3566372136797914,0.3957464709807634,0.3761918423302774,0.8550498753117207,0.0682668329177057,0.0065461346633416,0.5564214463840399,1.916147132169576,0.0033323810496399,0.0511742071551806,0.0603258614396084,0.0,0.9853506492557668,0.7193759092666264,,0.7266224178478604,0.6718497176921179,0.371331125497818,3208,3208
convlstm_base,occlusion,10,8,0.3385758300535347,0.3632918856476421,0.3509338578505884,0.8329177057356608,0.0798004987531172,0.0081047381546134,0.5243142144638404,1.833852867830424,0.0033323810496399,0.0524649679512157,0.0604134736942366,0.0,0.9831944796212594,0.7393530898557934,,0.748157037352386,0.6920290585056423,0.3460095226764679,3208,3208
convlstm_base,occlusion,10,9,0.3230883718644372,0.3358610562520364,0.3294747140582368,0.8089152119700748,0.091645885286783,0.0093516209476309,0.5003117206982544,1.7718204488778055,0.0033323810496399,0.0537185140447492,0.0604720227967407,0.0,0.9809016277665212,0.7555474081538859,,0.7661260680441845,0.7095255083180507,0.324342280626297,3208,3208
convlstm_base,occlusion,10,10,0.309014475449904,0.3119111952135262,0.3104628353317151,0.7833541147132169,0.101932668329177,0.010286783042394,0.4735037406483791,1.7125935162094763,0.0033323810496399,0.0549427686751004,0.0604981094491419,0.0,0.9784197343555174,0.7721184765608828,,0.7848412170448803,0.7247003561677647,0.3062753081321716,3208,3208
convlstm_base,blur,5,all,0.6436624806673585,0.7056175487537412,0.6746400147105499,0.9540347875677218,0.0275449101796407,0.0023381807812945,0.2920444824636441,1.6479612204163103,0.0030848178742437,0.0652469970153938,0.0596632674012094,0.0,0.991800522838252,0.2324550920855737,,0.2292114902433248,0.3891563130199547,0.6676251292228699,17535,3507
convlstm_base,blur,5,1,0.7808994267529181,0.9015440775148365,0.8412217521338772,0.9828913601368692,0.013116623895067,0.0008554319931565,0.3139435414884516,1.8542914171656688,0.0030848178742437,0.061155304408544,0.0594303085297658,0.0,0.9963481240643712,0.0970932134781123,,0.0938673615455627,0.2448794492841592,0.8322291970252991,3507,3507
convlstm_base,blur,5,2,0.694164586215988,0.7923312218439181,0.7432479040299531,0.969774736241802,0.0199600798403193,0.001710863986313,0.3116623895067009,1.7191331622469348,0.0030848178742437,0.0633069333802632,0.0595579673985362,0.0,0.9940165706533362,0.1543550872721154,,0.1505606196903591,0.3333631803559981,0.7351920008659363,3507,3507
