method,stress,jf,ops,vanish,hallucination,split,mce
linear_centroid,distractor,0.6591703170096006,0.923239235814086,0.0313658397490732,0.0051325919589392,0.4771029369831765,0.000276207577197
linear_centroid_scale,distractor,0.4977594635718718,0.842861596009975,0.0776807980049875,0.0073566084788029,0.4550498753117207,0.001477871505409
linear_centroid_scale,distractor,0.6365146270211725,0.9179925862560592,0.034901625320787,0.0043912175648702,0.4619903051040775,0.0012572706094337
flow_warp,distractor,0.532920117095963,0.8647443890274314,0.0601932668329177,0.0083541147132169,0.6017456359102245,0.0014905221918906
flow_warp,distractor,0.6669208395048631,0.926489877388081,0.0302252637581978,0.0051325919589392,0.5386370116909039,0.0015953414977697
flow_linear_fallback,distractor,0.5461527091494813,0.8725997506234414,0.0566708229426433,0.0084164588528678,0.525997506234414,0.0014323707369021
flow_linear_fallback,distractor,0.6746774608435843,0.9284288565725692,0.0289706301682349,0.0051325919589392,0.5206159110350728,0.0034175337876751
convlstm_base,distractor,0.5408725470788575,0.906639650872818,0.0474127182044887,0.0057980049875311,0.2635598503740648,0.0025092131118268
convlstm_base,distractor,0.6751215120174024,0.954491017964072,0.0270886797832905,0.0023381807812945,0.2935272312517821,0.0031045050985779
convlstm_stress,distractor,0.5404607890073609,0.9068266832917704,0.0466957605985037,0.0055798004987531,0.2758416458852867,0.0023607588564521
convlstm_stress,distractor,0.6707669991217933,0.9556315939549472,0.0253778157969774,0.0026233247790134,0.2798973481608212,0.00290973202846
safeobjworld_r_full,distractor,0.5406047524375063,0.9147755610972568,0.040928927680798,0.0067331670822942,0.2722256857855362,0.0026272446590688
safeobjworld_r_full,distractor,0.6651952988991326,0.9575135443398916,0.0224123182207014,0.003193612774451,0.2755631593954947,0.0029537497040013
safeobjworld_r_no_temporal,distractor,0.5405602327650387,0.9150872817955112,0.0408042394014962,0.0067643391521197,0.2696695760598503,0.002598788774565
safeobjworld_r_no_temporal,distractor,0.6645821893546758,0.9578557171371542,0.0224123182207014,0.0030795551753635,0.2726546906187624,0.0030021141394023
safeobjworld_r_no_split,distractor,0.5441760857225468,0.9162718204488778,0.0393391521197007,0.0069513715710723,0.267643391521197,0.0026282328475797
safeobjworld_r_no_split,distractor,0.6704716643191332,0.9584830339321356,0.019788993441688,0.0039920159680638,0.282178500142572,0.0028926179692192
safeobjworld_r_no_area,distractor,0.5403520696413904,0.9177369077306732,0.0382481296758104,0.0066708229426433,0.2775561097256858,0.0025292768052414
safeobjworld_r_no_area,distractor,0.6642586520858441,0.9572284003421728,0.0224123182207014,0.003193612774451,0.2814941545480467,0.003095748042749
safeobjworld_r_no_stress,distractor,0.5466802345809234,0.9124376558603492,0.0434538653366583,0.00607855361596,0.2996882793017456,0.0027776103554209
safeobjworld_r_no_stress,distractor,0.6770819822434643,0.9613344739093242,0.0191616766467065,0.0039349871685201,0.2753350441973196,0.0028163559922452
safeobjworld_r_det,distractor,0.5386620606725205,0.9121259351620948,0.0444825436408977,0.005860349127182,0.2305486284289276,0.0018334576944168
safeobjworld_r_det,distractor,0.6691992023499493,0.9552894211576848,0.0253207869974337,0.0025662959794696,0.2809808953521528,0.0028392425176914
safeobjworld_r_image_only,distractor,0.1124545132528783,0.3431733167082294,0.4199812967581047,0.0084476309226932,0.6374376558603492,0.0176030697793272
safeobjworld_r_image_only,distractor,0.1545503668019955,0.511149130310807,0.2022811519817507,0.0051325919589392,0.9482178500142572,0.0203667179425152
safeobjworld_r_mask_only,distractor,0.5378350560410348,0.9096945137157108,0.0444201995012468,0.0063279301745635,0.2795822942643391,0.0029050688710436
safeobjworld_r_mask_only,distractor,0.6571080059775688,0.9560878243512974,0.0226974622184203,0.0037639007698887,0.2226974622184203,0.0030563408690167
object_token_full,distractor,0.2842478743478276,0.8553615960099751,0.0540835411471321,0.0083229426433915,0.119357855361596,0.0134724357941304
object_token_full,distractor,0.3365832360285903,0.8865126889078985,0.0447105788423153,0.0037639007698887,0.056914741944682,0.0150102642592986
object_token_det,distractor,0.2771585413256612,0.8260598503740648,0.0654613466334164,0.0068266832917705,0.1475374064837905,0.0018374000481914
object_token_det,distractor,0.3599248319809957,0.8930139720558882,0.0429426860564585,0.0050755631593954,0.0901055032791559,0.003556356365198
object_token_no_geom,distractor,0.1094736751753377,0.3898067331670823,0.4518391521197007,0.0084788029925187,0.0341022443890274,0.0056915839710812
object_token_no_geom,distractor,0.1173830512643817,0.4211006558311947,0.420302252637582,0.0051325919589392,0.222754491017964,0.0086513059725054
copy_last,frame_drop,0.5144217110906346,0.868142144638404,0.0557668329177057,0.0084788029925187,0.4809850374064838,0.0
copy_last,frame_drop,0.6267042922433199,0.9219846022241232,0.0334188765326489,0.0051325919589392,0.4781864841745081,0.0
