====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_geom",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_geom device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_geom/H5
[train:safeobj_no_geom:H5] epoch=5/8 step=825/1086 loss=0.8885
[train:safeobj_no_geom:H5] epoch=5/8 step=850/1086 loss=0.8772
[train:safeobj_no_geom:H5] epoch=5/8 step=875/1086 loss=0.8753
[train:safeobj_no_geom:H5] epoch=5/8 step=900/1086 loss=0.9029
[train:safeobj_no_geom:H5] epoch=5/8 step=925/1086 loss=0.8928
[train:safeobj_no_geom:H5] epoch=5/8 step=950/1086 loss=0.9219
[train:safeobj_no_geom:H5] epoch=5/8 step=975/1086 loss=0.8996
[train:safeobj_no_geom:H5] epoch=5/8 step=1000/1086 loss=0.8892
[train:safeobj_no_geom:H5] epoch=5/8 step=1025/1086 loss=0.8800
[train:safeobj_no_geom:H5] epoch=5/8 step=1050/1086 loss=0.8845
[train:safeobj_no_geom:H5] epoch=5/8 step=1075/1086 loss=0.8904
[epoch done:safeobj_no_geom:H5] epoch=5 train=0.9053 val=1.0606 best=1.0279
[train:safeobj_no_geom:H5] epoch=6/8 step=0/1086 loss=0.9473
[train:safeobj_no_geom:H5] epoch=6/8 step=25/1086 loss=0.8859
[train:safeobj_no_geom:H5] epoch=6/8 step=50/1086 loss=0.8804
[train:safeobj_no_geom:H5] epoch=6/8 step=75/1086 loss=0.8824
[train:safeobj_no_geom:H5] epoch=6/8 step=100/1086 loss=0.8699
[train:safeobj_no_geom:H5] epoch=6/8 step=125/1086 loss=0.9084
[train:safeobj_no_geom:H5] epoch=6/8 step=150/1086 loss=0.8442
[train:safeobj_no_geom:H5] epoch=6/8 step=175/1086 loss=0.8940
[train:safeobj_no_geom:H5] epoch=6/8 step=200/1086 loss=0.8974
[train:safeobj_no_geom:H5] epoch=6/8 step=225/1086 loss=0.8860
[train:safeobj_no_geom:H5] epoch=6/8 step=250/1086 loss=0.8745
[train:safeobj_no_geom:H5] epoch=6/8 step=275/1086 loss=0.8504
[train:safeobj_no_geom:H5] epoch=6/8 step=300/1086 loss=0.9140
[train:safeobj_no_geom:H5] epoch=6/8 step=325/1086 loss=0.8669
