====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "convlstm",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.0,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=convlstm device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/convlstm/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
[epoch done:convlstm:H5] epoch=4 train=0.4324 val=0.3573 best=0.3573
[train:convlstm:H5] epoch=5/8 step=0/1086 loss=0.2988
[train:convlstm:H5] epoch=5/8 step=25/1086 loss=0.4023
[train:convlstm:H5] epoch=5/8 step=50/1086 loss=0.4369
[train:convlstm:H5] epoch=5/8 step=75/1086 loss=0.3948
[train:convlstm:H5] epoch=5/8 step=100/1086 loss=0.4470
[train:convlstm:H5] epoch=5/8 step=125/1086 loss=0.4459
[train:convlstm:H5] epoch=5/8 step=150/1086 loss=0.4313
[train:convlstm:H5] epoch=5/8 step=175/1086 loss=0.4213
[train:convlstm:H5] epoch=5/8 step=200/1086 loss=0.4515
[train:convlstm:H5] epoch=5/8 step=225/1086 loss=0.4082
[train:convlstm:H5] epoch=5/8 step=250/1086 loss=0.4181
[train:convlstm:H5] epoch=5/8 step=275/1086 loss=0.4313
[train:convlstm:H5] epoch=5/8 step=300/1086 loss=0.4463
[train:convlstm:H5] epoch=5/8 step=325/1086 loss=0.4203
[train:convlstm:H5] epoch=5/8 step=350/1086 loss=0.4521
[train:convlstm:H5] epoch=5/8 step=375/1086 loss=0.4224
[train:convlstm:H5] epoch=5/8 step=400/1086 loss=0.4508
[train:convlstm:H5] epoch=5/8 step=425/1086 loss=0.4110
[train:convlstm:H5] epoch=5/8 step=450/1086 loss=0.4303
[train:convlstm:H5] epoch=5/8 step=475/1086 loss=0.4516
[train:convlstm:H5] epoch=5/8 step=500/1086 loss=0.3998
[train:convlstm:H5] epoch=5/8 step=525/1086 loss=0.4043
[train:convlstm:H5] epoch=5/8 step=550/1086 loss=0.4354
[train:convlstm:H5] epoch=5/8 step=575/1086 loss=0.4296
[train:convlstm:H5] epoch=5/8 step=600/1086 loss=0.4525
[train:convlstm:H5] epoch=5/8 step=625/1086 loss=0.4196
