====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_det",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 1,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_det device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_det/H5
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1055: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp))
/home/tahiti/SafeObjWorld/code/safeobjworld_run.py:1072: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
[train:safeobj_det:H5] epoch=3/8 step=725/1086 loss=0.7071
[train:safeobj_det:H5] epoch=3/8 step=750/1086 loss=0.7319
[train:safeobj_det:H5] epoch=3/8 step=775/1086 loss=0.6798
[train:safeobj_det:H5] epoch=3/8 step=800/1086 loss=0.6907
[train:safeobj_det:H5] epoch=3/8 step=825/1086 loss=0.7361
[train:safeobj_det:H5] epoch=3/8 step=850/1086 loss=0.6639
[train:safeobj_det:H5] epoch=3/8 step=875/1086 loss=0.6407
[train:safeobj_det:H5] epoch=3/8 step=900/1086 loss=0.7257
[train:safeobj_det:H5] epoch=3/8 step=925/1086 loss=0.7053
[train:safeobj_det:H5] epoch=3/8 step=950/1086 loss=0.7129
[train:safeobj_det:H5] epoch=3/8 step=975/1086 loss=0.6583
[train:safeobj_det:H5] epoch=3/8 step=1000/1086 loss=0.6965
[train:safeobj_det:H5] epoch=3/8 step=1025/1086 loss=0.7032
[train:safeobj_det:H5] epoch=3/8 step=1050/1086 loss=0.6937
[train:safeobj_det:H5] epoch=3/8 step=1075/1086 loss=0.6801
[epoch done:safeobj_det:H5] epoch=3 train=0.7097 val=0.7170 best=0.7170
[train:safeobj_det:H5] epoch=4/8 step=0/1086 loss=0.7640
[train:safeobj_det:H5] epoch=4/8 step=25/1086 loss=0.6822
[train:safeobj_det:H5] epoch=4/8 step=50/1086 loss=0.7032
[train:safeobj_det:H5] epoch=4/8 step=75/1086 loss=0.6409
[train:safeobj_det:H5] epoch=4/8 step=100/1086 loss=0.6455
[train:safeobj_det:H5] epoch=4/8 step=125/1086 loss=0.6568
[train:safeobj_det:H5] epoch=4/8 step=150/1086 loss=0.6456
[train:safeobj_det:H5] epoch=4/8 step=175/1086 loss=0.6528
[train:safeobj_det:H5] epoch=4/8 step=200/1086 loss=0.7336
[train:safeobj_det:H5] epoch=4/8 step=225/1086 loss=0.6641
[train:safeobj_det:H5] epoch=4/8 step=250/1086 loss=0.6454
[train:safeobj_det:H5] epoch=4/8 step=275/1086 loss=0.6302
[train:safeobj_det:H5] epoch=4/8 step=300/1086 loss=0.6833
[train:safeobj_det:H5] epoch=4/8 step=325/1086 loss=0.6703
[train:safeobj_det:H5] epoch=4/8 step=350/1086 loss=0.6869
[train:safeobj_det:H5] epoch=4/8 step=375/1086 loss=0.6723
[train:safeobj_det:H5] epoch=4/8 step=400/1086 loss=0.6667
[train:safeobj_det:H5] epoch=4/8 step=425/1086 loss=0.6699
[train:safeobj_det:H5] epoch=4/8 step=450/1086 loss=0.6946
[train:safeobj_det:H5] epoch=4/8 step=475/1086 loss=0.6517
[train:safeobj_det:H5] epoch=4/8 step=500/1086 loss=0.6264
[train:safeobj_det:H5] epoch=4/8 step=525/1086 loss=0.6716
[train:safeobj_det:H5] epoch=4/8 step=550/1086 loss=0.6421
[train:safeobj_det:H5] epoch=4/8 step=575/1086 loss=0.6427
[train:safeobj_det:H5] epoch=4/8 step=600/1086 loss=0.6747
[train:safeobj_det:H5] epoch=4/8 step=625/1086 loss=0.6764
[train:safeobj_det:H5] epoch=4/8 step=650/1086 loss=0.6491
[train:safeobj_det:H5] epoch=4/8 step=675/1086 loss=0.6686
[train:safeobj_det:H5] epoch=4/8 step=700/1086 loss=0.6514
[train:safeobj_det:H5] epoch=4/8 step=725/1086 loss=0.6621
[train:safeobj_det:H5] epoch=4/8 step=750/1086 loss=0.6356
[train:safeobj_det:H5] epoch=4/8 step=775/1086 loss=0.6191
[train:safeobj_det:H5] epoch=4/8 step=800/1086 loss=0.6300
[train:safeobj_det:H5] epoch=4/8 step=825/1086 loss=0.6099
[train:safeobj_det:H5] epoch=4/8 step=850/1086 loss=0.6339
[train:safeobj_det:H5] epoch=4/8 step=875/1086 loss=0.6540
[train:safeobj_det:H5] epoch=4/8 step=900/1086 loss=0.6791
[train:safeobj_det:H5] epoch=4/8 step=925/1086 loss=0.6529
[train:safeobj_det:H5] epoch=4/8 step=950/1086 loss=0.6607
[train:safeobj_det:H5] epoch=4/8 step=975/1086 loss=0.6371
[train:safeobj_det:H5] epoch=4/8 step=1000/1086 loss=0.6619
[train:safeobj_det:H5] epoch=4/8 step=1025/1086 loss=0.6379
[train:safeobj_det:H5] epoch=4/8 step=1050/1086 loss=0.6412
[train:safeobj_det:H5] epoch=4/8 step=1075/1086 loss=0.6354
[epoch done:safeobj_det:H5] epoch=4 train=0.6598 val=0.6762 best=0.6762
[train:safeobj_det:H5] epoch=5/8 step=0/1086 loss=0.5570
[train:safeobj_det:H5] epoch=5/8 step=25/1086 loss=0.6411
[train:safeobj_det:H5] epoch=5/8 step=50/1086 loss=0.6412
