====================================================================================================
SafeObjWorld runner
{
  "mode": "train",
  "dataset_root": "/home/tahiti/SafeObjWorld/data/DAVIS2017",
  "run_root": "/home/tahiti/SafeObjWorld/runs_musthave",
  "year": "2017",
  "method": "safeobj_no_stress",
  "stress": "clean",
  "prefix_len": 3,
  "max_h": 5,
  "image_size": 192,
  "batch_size": 8,
  "epochs": 8,
  "lr": 0.0002,
  "weight_decay": 0.0001,
  "temporal_weight": 0.05,
  "stress_train": 0,
  "eval_k": 5,
  "max_train_samples": 0,
  "max_val_samples": 0,
  "num_workers": 4,
  "seed": 42,
  "amp": true,
  "cpu": false,
  "skip_existing": true,
  "log_every": 25
}
====================================================================================================
[train] method=safeobj_no_stress device=cuda out=/home/tahiti/SafeObjWorld/runs_musthave/models/safeobj_no_stress/H5
[train:safeobj_no_stress:H5] epoch=3/8 step=875/1086 loss=0.6729
[train:safeobj_no_stress:H5] epoch=3/8 step=900/1086 loss=0.7479
[train:safeobj_no_stress:H5] epoch=3/8 step=925/1086 loss=0.7304
[train:safeobj_no_stress:H5] epoch=3/8 step=950/1086 loss=0.7411
[train:safeobj_no_stress:H5] epoch=3/8 step=975/1086 loss=0.7154
[train:safeobj_no_stress:H5] epoch=3/8 step=1000/1086 loss=0.7227
[train:safeobj_no_stress:H5] epoch=3/8 step=1025/1086 loss=0.7455
[train:safeobj_no_stress:H5] epoch=3/8 step=1050/1086 loss=0.7227
[train:safeobj_no_stress:H5] epoch=3/8 step=1075/1086 loss=0.7176
[epoch done:safeobj_no_stress:H5] epoch=3 train=0.7400 val=0.7152 best=0.7152
[train:safeobj_no_stress:H5] epoch=4/8 step=0/1086 loss=0.8238
[train:safeobj_no_stress:H5] epoch=4/8 step=25/1086 loss=0.7001
[train:safeobj_no_stress:H5] epoch=4/8 step=50/1086 loss=0.7423
[train:safeobj_no_stress:H5] epoch=4/8 step=75/1086 loss=0.6811
[train:safeobj_no_stress:H5] epoch=4/8 step=100/1086 loss=0.6828
[train:safeobj_no_stress:H5] epoch=4/8 step=125/1086 loss=0.7069
